generation,best_fitness,avg_fitness
159,0.83,0.8299999999999998
160,0.83,0.8245901639344261
161,0.83,0.8299999999999998
162,0.83,0.8299999999999998
163,0.83,0.8299999999999998
164,0.83,0.8299999999999998
165,0.83,0.8245901639344261
166,0.83,0.8299999999999998
167,0.83,0.8299999999999998
168,0.83,0.8299999999999998
169,0.83,0.8299999999999998
170,0.83,0.8245901639344261
171,0.83,0.8299999999999998
172,0.83,0.8299999999999998
173,0.83,0.8299999999999998
174,0.83,0.8299999999999998
175,0.83,0.8295081967213113
176,0.83,0.8299999999999998
177,0.83,0.8264999999999998
178,0.83,0.820333333333333
179,0.83,0.820333333333333
180,0.83,0.8245901639344261
181,0.83,0.8213333333333331
182,0.83,0.8299999999999998
183,0.83,0.8299999999999998
184,0.83,0.8299999999999998
185,0.83,0.8232786885245901
186,0.83,0.8299999999999998
187,0.83,0.8299999999999998
188,0.83,0.8299999999999998
189,0.83,0.8299999999999998
190,0.83,0.8265573770491801
191,0.83,0.8299999999999998
192,0.83,0.8299999999999998
193,0.83,0.8264999999999998
194,0.83,0.8299999999999998
195,0.83,0.8265573770491801
196,0.83,0.8299999999999998
197,0.83,0.8299999999999998
198,0.83,0.8299999999999998
199,0.83,0.8299999999999998
200,0.83,0.8299999999999998
201,0.83,0.8299999999999998
202,0.83,0.816
203,0.83,0.8299999999999998
204,0.83,0.8231666666666665
205,0.83,0.8299999999999998
206,0.83,0.816
207,0.83,0.8299999999999998
208,0.83,0.8213333333333331
209,0.83,0.8299999999999998
210,0.83,0.8299999999999998
211,0.83,0.8244999999999998
212,0.83,0.8299999999999998
213,0.83,0.8299999999999998
214,0.83,0.8299999999999998
215,0.83,0.8245901639344261
216,0.83,0.8299999999999998
217,0.83,0.8299999999999998
218,0.83,0.8213333333333331
219,0.83,0.8299999999999998
220,0.83,0.8245901639344261
221,0.83,0.8299999999999998
222,0.83,0.8299999999999998
223,0.83,0.8299999999999998
224,0.83,0.8299999999999998
225,0.83,0.8209836065573768
226,0.83,0.8299999999999998
227,0.83,0.8299999999999998
228,0.83,0.8299999999999998
229,0.83,0.8299999999999998
230,0.83,0.8218032786885243
231,0.83,0.8299999999999998
232,0.83,0.8299999999999998
233,0.83,0.8299999999999998
234,0.83,0.8299999999999998
235,0.83,0.8295081967213113
236,0.83,0.8299999999999998
237,0.83,0.8299999999999998
238,0.83,0.8299999999999998
239,0.83,0.820333333333333
240,0.83,0.8265573770491801
241,0.83,0.8299999999999998
242,0.83,0.8299999999999998
243,0.83,0.8299999999999998
244,0.83,0.8299999999999998
245,0.83,0.8245901639344261
246,0.83,0.8231666666666665
247,0.83,0.8299999999999998
248,0.83,0.8299999999999998
249,0.83,0.8299999999999998
250,0.83,0.8295081967213113
251,0.83,0.8299999999999998
252,0.83,0.8299999999999998
253,0.83,0.8299999999999998
254,0.83,0.8299999999999998
255,0.83,0.8265573770491801
256,0.83,0.8299999999999998
257,0.83,0.8299999999999998
258,0.83,0.8299999999999998
259,0.83,0.8299999999999998
260,0.83,0.8245901639344261
261,0.83,0.8299999999999998
262,0.83,0.8231666666666665
263,0.83,0.8299999999999998
264,0.83,0.8264999999999998
265,0.83,0.8188524590163931
266,0.83,0.8208333333333332
267,0.83,0.8244999999999999
268,0.83,0.8299999999999998
269,0.83,0.8299999999999998
270,0.83,0.8175409836065571
271,0.83,0.8299999999999998
272,0.83,0.8299999999999998
273,0.83,0.8299999999999998
274,0.83,0.8299999999999998
275,0.83,0.8299999999999998
276,0.83,0.8221666666666664
277,0.83,0.8299999999999998
278,0.83,0.8299999999999998
279,0.83,0.8299999999999998
280,0.83,0.8299999999999998
281,0.83,0.8244999999999998
282,0.83,0.8299999999999998
283,0.83,0.8299999999999998
